Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Glubtok,"In a fit of rage, Glubtok unleashed his potent magical abilities and reduced his ogre mound to ash. Upon hearing of his destructive talents, the Defias hired the massive ogre mage to supervise their laborers as head foreman of the Deadmines.",0.3652697,0.6122755,89,63,1064,1,2010,291,0,0,-1
Helix Gearbreaker,"Formerly a craftsman in the Bilgewater Cartel, Helix was offered a sum eclipsing anything he would ever make as a nameless Horde engineer to ply his trade for the Defias Brotherhood. He was quick to accept the job and renounce his former loyalties... just as any resourceful goblin would.",0.50199604,0.8682636,90,63,1065,2,2020,291,0,0,-1
Foe Reaper 5000,"Defias engineers have spent many long days perfecting a new harvester model based on the Foe Reaper 4000 unit. Once it is completed, the brotherhood believes this mechanized terror will be able to slice through Stormwind's armored soldiers like a scythe through wheat.",0.12475067,0.75898206,91,63,1063,3,3448,292,0,0,-1
Admiral Ripsnarl,"When James Harrington became afflicted by the worgen curse, he destroyed his loving family and maritime career in one chilling night of bloodlust. Taking on the name Ripsnarl, he fled into Westfall and later agreed to command the Defias Brotherhood's fearsome juggernaut.",0.60479087,0.38772452,92,63,1062,4,2044,292,0,0,-1
"""Captain"" Cookie","Cookie proclaimed himself captain of the Defias Brotherhood's juggernaut following its previous commander's death. Although he still performs his official duties as chief cook, anyone who questions the validity of his captain title has been known to come down with a severe case of food poisoning.",0.60479087,0.4550898,93,63,1060,5,2055,292,0,0,-1
Vanessa VanCleef,"As a young girl, Vanessa witnessed the gruesome death of her father and former Defias Brotherhood leader, Edwin VanCleef. She has since taken up his mantle of leadership, plotting to exact vengeance on Stormwind from the dark corridors of the Defias's stronghold in the Deadmines.",0.6546913,0.40269458,95,63,1081,6,2060,292,0,2,14
Baron Ashbury,"Slain by worgen and raised into undeath by the Forsaken, the traitor Baron Ashbury toys with his foes, keeping them alive so he can inflict maximum pain and suffering.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
Baron Silverlaine,Baron Silverlaine was master of the keep before it fell to Arugal's worgen. Now his cursed spirit calls upon the very wolf-beasts that slaughtered him to punish further trespassers into his home.,0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
Commander Springvale,"A loyal soldier, the ghost of Commander Springvale haunts the council room, using unholy strikes to avenge his lord, Baron Silverlaine.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
Lord Walden,"Godfrey's right-hand man, the arrogant Lord Walden vowed to pay any price, including death, to serve his compatriot. Now among the undead, Walden intends to keep his word, attacking adversaries with ice and venom.",0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
Lord Godfrey,"Drawing from his past as a Gilnean noble and Forsaken agent, the cunning and resourceful Lord Godfrey wields dual pistols and commands relentless flesh-eating ghouls.",0.6846315,0.3353293,100,64,1072,5,2164,315,0,0,-1
Lady Naz'jar,"Lady Naz'jar played a pivotal role in retaking Vashj'ir from the brutal Kvaldir, earning her Queen Azshara's favor. Recently Naz'jar spearheaded an assault against Neptulon and succeeded in cornering the powerful elemental lord within his throne room.",0.50499004,0.21556878,101,65,1045,1,2179,323,0,0,-1
"Commander Ulthok, the Festering Prince","Ulthok is an incredibly ancient being sent by his Old God masters to aid Lady Naz'jar with invading the Throne of Tides. Bristling with sinister powers, Ulthok commands legions of his fellow faceless ones in the deepest trenches surrounding Vashj'ir.",0.50499004,0.42514968,102,65,1044,2,2189,323,0,0,-1
Mindbender Ghur'sha,"After his valiant efforts at the Abyssal Breach, Earthen Ring shaman Erunak Stonespeaker was abducted by naga forces and enslaved by Mindbender Ghur'sha. It is feared that this parasitic aberration has taken full control over Erunak's mind, body, and devastating shamanic abilities.",0.67465144,0.19311368,103,65,1046,3,2194,322,0,0,-1
Ozumat,"Tales of the monstrous kraken that terrorize Azeroth's high seas were once relegated to myth... but no longer. By some ill means, the naga have bent Ozumat-the patriarch of all kraken-to their will and unleashed him against Neptulon and his followers.",0.3253496,0.19311368,104,65,1047,4,2204,322,0,0,-1
Rom'ogg Bonecrusher,"One of the rare ""missing link"" ogres on Outland, Rom'ogg Bonecrusher piqued the Twilight's Hammer Cult's interest with his merciless treatment of the ogres. He now lords over the Chamber of Incineration, sating his hunger for inflicting torment on others.",0.5,0.70209587,105,66,1040,1,2356,283,0,0,-1
"Corla, Herald of Twilight","Formerly an accomplished Kirin Tor mage, Corla now serves the Twilight's Hammer with unwavering devotion. She blesses fellow zealots by harnessing nether dragon essences to transform these believers into menacing twilight drakonid.",0.27045947,0.16317356,106,66,1038,2,2361,284,0,0,-1
Karsh Steelbender,"The enormous drakonid Karsh Steelbender toils in the Twilight Forge, shaping weapons of war out of rare quicksilver. Although Karsh's works are nearly unbreakable under normal circumstances, at high temperatures they become as brittle as rusted iron.",0.47005993,0.6646707,107,66,1039,3,2371,284,0,0,-1
Beauty,"Beauty's past is a tale as old as time, a song as old as rhyme. After Beauty's mate, Beast, was slain by heroes in Blackrock Spire, the hound and its four remaining pups joined forces with the Twilight's Hammer, intent on punishing the creatures who killed its mate.",0.66467136,0.8443115,108,66,1037,4,2378,284,0,0,-1
Ascendant Lord Obsidius,"For his unyielding devotion and penchant for cruelty, the powerful shaman Dessirik the Depraved was gifted with ascension: a dark ritual that infused him with elemental powers, transforming him into a monstrosity known as Ascendant Lord Obsidius.",0.68962157,0.50748503,109,66,1036,5,2385,284,0,0,-1
Corborus,"Deathwing enslaved the massive gyreworm Corborus and drove it to unearth the vast amounts of elementium required to forge the Dragon Aspect's new plating. With Deathwing's departure, however, Corborus has broken loose and now rampages through the Stonecore in blind fury.",0.6297411,0.5973054,110,67,1056,1,2394,324,0,0,-1
Slabhide,"With his powers as the Aspect of Earth amplified by the Old Gods, Deathwing easily swayed Deepholm's stone wyrms into serving the Twilight's Hammer. One of the most ambitious of these creatures, Slabhide hopes to earn Deathwing's favor by exterminating any intruders brazen enough to enter the Stonecore.",0.3702597,0.44760478,111,67,1059,2,2401,324,0,0,-1
Ozruk,"Ozruk has served as Stonecore's guardian since Deepholm's creation. It is unknown why Ozruk has remained in the Stonecore, but it has become apparent that the guardian now believes that anyone opposed to Deathwing is a threat to Deepholm, and should therefore be destroyed.",0.50499004,0.23053885,112,67,1058,3,2405,324,0,0,-1
High Priestess Azil,"High Priestess Azil is one of the few who has survived communing with the Twilight's Hammer cult's eldritch masters, although little remains of her sanity. She instills terror in lesser cultists so that they will sacrifice themselves without hesitation when their masters command it.",0.5748506,0.38772452,113,67,1057,4,2411,324,0,0,-1
Grand Vizier Ertan,"Ertan defends the Vortex Pinnacle under the command of her master, Asaad, against any ground-dwellers who dare intrude on the realm. To fulfill her duties, the elemental noble has been granted mastery over the primal forces of lightning and wind.",0.5499004,0.44760478,114,68,1043,1,2419,325,0,0,-1
Altairus,"The immense storm wyrm Altairus maintains an unyielding vigil over the hovering platforms of the Vortex Pinnacle. The very energies of the storms pulse through this being, and he is said to command the wind currents that buffet the elemental fortress.",0.51996017,0.8218564,115,68,1041,2,2425,325,0,0,-1
"Asaad, Caliph of Zephyrs","The fearsome elemental Asaad was named guardian of the Vortex Pinnacle by Al'Akir himself. With Siamat, Lord of the South Wind, imprisoned by the Neferset tol'vir, Asaad believes he may ascend to the Conclave of Wind if he performs his duties well.",0.30039954,0.3802395,116,68,1042,3,2431,325,0,0,-1
General Husam,"The titans themselves appointed General Husam as one of Uldum's foremost guardians. After Siamat, Lord of the South Wind, cured the Neferset tol'vir's curse of flesh, Husam helmed a rebellion that culminated in the air elemental's imprisonment.",0.3752497,0.42514968,117,69,1052,1,2437,277,0,0,-1
Lockmaw,"Amid the Neferset's chaotic insurrection against Siamat, the pygmy Augh pilfered whatever treasures he could from the ancient tol'vir city. Among his race, Augh is respected as much for his cunning as he is for his ferocious pet crocolisk, Lockmaw.",0.67465144,0.72455096,118,69,1053,2,2442,277,0,0,-1
High Prophet Barim,"High Prophet Barim is the hallowed spiritual leader of the Neferset. Along with General Husam, he rallied his fellow Neferset against Siamat and imprisoned the air elemental. Regardless, some dark force still drives Barim and his followers to terrorize Uldum.",0.27045947,0.6571857,119,69,1054,3,2455,277,0,0,-1
Siamat,Purging the Neferset tol'vir's curse of flesh left the fearsome elemental Siamat severely drained. It was during this moment of vulnerability that the tol'vir struck and magically imprisoned Siamat at the center of their ancient sand-swept city.,0.4151698,0.5523952,122,69,1055,4,2474,277,0,0,-1
Temple Guardian Anhuur,"In the final days of the Halls of Origination's use by titanic forces, Temple Guardian Anhuur was endowed with the willpower needed to wield the Light. Thus empowered, he was charged with judging the purity of those entering the facility.",0.5848307,0.62724555,124,70,1080,1,2489,297,0,0,-1
Earthrager Ptah,"Outside Earthrager Ptah's tomb, the sand is littered with the bones of creatures purified by Anhuur. It is said that Ptah can bend these remains to his will and send them against beings who manage to elude the facility's first line of defense.",0.5,0.49251497,125,70,1076,2,2540,298,0,0,-1
